Split,Type,Model,Train_Size,Test_Size,MAE,RMSE,R2,Users_Evaluated,HitRate@10,Precision@10,Recall@10,NDCG@10,MAP@10,MRR@10
80:20,BaseModel,GlobalMean,2201,551,1.180817139434778,1.374534755919405,-0.001757177286447531,192,0.10416666666666667,0.010937500000000001,0.0859375,0.040266081836240204,0.02375372023809524,0.03021246693121693
90:10,BaseModel,GlobalMean,2436,316,1.17519815288257,1.375945072197955,-0.001235024062377521,138,0.10869565217391304,0.010869565217391304,0.10507246376811594,0.048285012032076094,0.030403151598803777,0.03402634000460088
70:30,BaseModel,GlobalMean,1926,826,1.191254587619232,1.393609303938397,-0.0018845981241850662,235,0.16595744680851063,0.01702127659574468,0.11170212765957446,0.05196053844509554,0.02821907013396375,0.04057244174265451
90:10,BaseModel,PlaceMean,2436,316,1.2048732865370373,1.4115719971156089,-0.05375562816660073,138,0.10144927536231885,0.010144927536231885,0.10144927536231885,0.04180633506867351,0.024574419139636528,0.024574419139636528
80:20,BaseModel,PlaceMean,2201,551,1.2130013593157387,1.4128793878641626,-0.05842768247568064,192,0.125,0.013020833333333334,0.10069444444444443,0.05124502634847403,0.03299196704144621,0.041829943783068785
80:20,BaseModel,HybridPreferenceBias,2201,551,1.2213430839722768,1.4128924341142337,-0.058447229191556094,192,0.11979166666666667,0.012500000000000002,0.0954861111111111,0.044866763117363984,0.026347552910052908,0.035125248015873016
90:10,BaseModel,HybridPreferenceBias,2436,316,1.2186321973557852,1.4132369046396547,-0.05624284144696112,138,0.07246376811594203,0.007246376811594203,0.07246376811594203,0.0315287233179932,0.019746376811594205,0.019746376811594205
80:20,BaseModel,HybridPreferenceMF,2201,551,1.2219014596706845,1.4137813546868563,-0.05977949125202309,192,0.11458333333333333,0.011979166666666667,0.09027777777777779,0.042867790684765726,0.025070271164021163,0.034257192460317464
90:10,BaseModel,HybridPreferenceMF,2436,316,1.219114357635074,1.4141714018196747,-0.05764017588803627,138,0.07971014492753623,0.007971014492753625,0.07971014492753623,0.03364129243461308,0.020491143317230273,0.020491143317230273
70:30,BaseModel,PlaceMean,1926,826,1.2182878005638016,1.4192440795335086,-0.03908196873861969,235,0.16170212765957448,0.01702127659574468,0.10957446808510639,0.05390601003724747,0.03048801080715974,0.046521445457615676
80:20,BaseModel,UserPreferenceContent,2201,551,1.2265271882666926,1.4201128906186102,-0.06929306581753991,192,0.125,0.012500000000000002,0.09288194444444443,0.04394693756177565,0.025365823412698413,0.035050843253968254
90:10,BaseModel,BiasBaseline,2436,316,1.2231059097663417,1.4210566493744539,-0.06796401898682847,138,0.07971014492753623,0.007971014492753625,0.07971014492753623,0.033848179642813454,0.020499769956291696,0.020499769956291696
90:10,BaseModel,MatrixFactorization,2436,316,1.2236148806085363,1.4222708873854253,-0.06978986670867404,138,0.07971014492753623,0.007971014492753625,0.07971014492753623,0.03492642754222694,0.021836899010812053,0.021836899010812053
80:20,BaseModel,BiasBaseline,2201,551,1.228922525610534,1.4243884839022065,-0.07574148921981028,192,0.11979166666666667,0.012500000000000002,0.09895833333333333,0.04545166830260309,0.026311383928571432,0.03542906746031746
80:20,BaseModel,MatrixFactorization,2201,551,1.229481864124055,1.4256997207887,-0.07772297276406293,192,0.11458333333333333,0.011979166666666667,0.09635416666666667,0.04467442375496539,0.026447792658730162,0.03443700396825397
90:10,BaseModel,UserPreferenceContent,2436,316,1.2296269413536547,1.4297812916324197,-0.08111790267193819,138,0.10869565217391304,0.010869565217391304,0.10869565217391304,0.04482371299186472,0.026337129054520358,0.026337129054520358
70:30,BaseModel,HybridPreferenceBias,1926,826,1.2366739988691609,1.4327479618908443,-0.05894943943897668,235,0.16170212765957448,0.01702127659574468,0.11099290780141843,0.05436611636022875,0.03111589553078915,0.04581222559945964
70:30,BaseModel,HybridPreferenceMF,1926,826,1.2380101817709783,1.434871587992476,-0.06209092605124966,235,0.16595744680851063,0.017446808510638297,0.11312056737588652,0.05483155828969966,0.031057356748846108,0.0455758189800743
70:30,BaseModel,BiasBaseline,1926,826,1.2432979334775023,1.4426836876058249,-0.07368742981734577,235,0.16170212765957448,0.01702127659574468,0.10886524822695035,0.05328083061774776,0.03014887988292244,0.045
70:30,BaseModel,MatrixFactorization,1926,826,1.245369991297101,1.4460193759415418,-0.07865820354686837,235,0.16170212765957448,0.01702127659574468,0.10886524822695035,0.05346153655340034,0.030433130699088144,0.04517223910840932
70:30,BaseModel,UserPreferenceContent,1926,826,1.2466842084142964,1.4479395843080713,-0.08152486463745601,235,0.15319148936170213,0.01574468085106383,0.1078014184397163,0.05058642784010678,0.02766604750647304,0.04083586626139818
80:20,BaseModel,UserMean,2201,551,1.265445453920953,1.4710849792586052,-0.14743087964761603,192,0.10416666666666667,0.010937500000000001,0.0859375,0.040266081836240204,0.02375372023809524,0.03021246693121693
90:10,BaseModel,UserMean,2436,316,1.2641198771341176,1.4753411938389773,-0.15111516745299114,138,0.10869565217391304,0.010869565217391304,0.10507246376811594,0.048285012032076094,0.030403151598803777,0.03402634000460088
70:30,BaseModel,UserMean,1926,826,1.2909791261334846,1.5138690018549834,-0.18225788428903744,235,0.16595744680851063,0.01702127659574468,0.11170212765957446,0.05196053844509554,0.02821907013396375,0.04057244174265451
90:10,BaseModel,UserKNN,2436,316,1.383749272936879,1.6715037184239898,-0.47757159281402206,138,0.09420289855072464,0.009420289855072464,0.09057971014492754,0.03488071369835043,0.01784276512537382,0.01965435932827237
80:20,BaseModel,ItemKNN,2201,551,1.3590206157476947,1.6751671588451458,-0.4878779637539854,192,0.140625,0.0140625,0.10850694444444446,0.05047232554733109,0.028670290454144622,0.03785135582010582
80:20,BaseModel,UserKNN,2201,551,1.3898177230582707,1.6781020094925443,-0.493095980064691,192,0.140625,0.0140625,0.10069444444444443,0.04733475483977234,0.02697379298941799,0.035726686507936506
70:30,BaseModel,UserKNN,1926,826,1.398630652542645,1.691277800249393,-0.47558938650772076,235,0.16170212765957448,0.01702127659574468,0.11453900709219857,0.05634482834540869,0.032967747382640994,0.046779804120229654
90:10,BaseModel,ItemKNN,2436,316,1.4199306624027752,1.7176028411990765,-0.5601966406847219,138,0.06521739130434782,0.006521739130434783,0.06521739130434782,0.027906636914053134,0.017063492063492065,0.017063492063492065
70:30,BaseModel,ItemKNN,1926,826,1.402700603288666,1.7340611040287648,-0.5511879410180807,235,0.15319148936170213,0.01574468085106383,0.10390070921985814,0.053239013419630936,0.03080941123494315,0.047124282337048295
